"Name","GPS","DateTime","NO2","O3_1hr","O3_4hr","O3_8hr","CO","PM10 1 hr","PM2.5 1 hr","PM10","PM2.5","AQI_CO","AQI_NO2","AQI_O3_1hr","AQI_O3_4hr","AQI_O3_8hr","AQI_PM10","AQI_PM2.5","AQI_Site","Date","Time"
"Monash","(-35.418302, 149.094018)","30/07/2022 12:00:00 PM","0.003","0.029","0.019","0.012","0.37","8.4","5.3","8.5","8.6","4","4","29","24","18","17","34","34","30 July 2022","12:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 12:00:00 PM",,"0.02","0.016","0.014",,"4.1","6.1","7.4","4.9",,,"20","20","21","15","19","21","30 July 2022","12:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 11:00:00 AM",,"0.018","0.014","0.013",,"5.2","5.8","7.5","4.9",,,"18","17","20","15","20","20","30 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 11:00:00 AM","0.003","0.022","0.013","0.009","0.39","4.2","6.9","8.2","8.4","4","4","22","16","13","16","34","34","30 July 2022","11:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 11:00:00 AM","0.004","0.022","0.01","0.006","0.55","9.7","10","16.2","14.7","6","5","22","13",,"32","59","59","30 July 2022","11:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 10:00:00 AM","0.008","0.013","0.005","0.003","0.64","17.1","23.7","16.1","14.6","7","10","13","6",,"32","58","58","30 July 2022","10:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 10:00:00 AM",,"0.015","0.011","0.013",,"3.8","4","7.5","4.9",,,"15","14","19","15","20","20","30 July 2022","10:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 10:00:00 AM","0.005","0.016","0.008","0.007","0.41","11.1","11.1","8.1","8.3","5","6","16","9","11","16","33","33","30 July 2022","10:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 09:00:00 AM",,"0.011","0.01","0.013",,"0.7","3.3","7.8","5",,,"11","13","20","16","20","20","30 July 2022","09:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 09:00:00 AM","0.012","0.004","0.002","0.001","0.74","19.2","19","15.7","14.2","8","15","4","2",,"31","57","57","30 July 2022","09:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 09:00:00 AM","0.01","0.009","0.004","0.007","0.41","19.5","21.4","8.1","8.3","5","13","9","5","10","16","33","33","30 July 2022","09:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 08:00:00 AM",,"0.01","0.012","0.013",,"6.1","3.5","8","5.1",,,"10","14","19","16","20","20","30 July 2022","08:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 08:00:00 AM","0.01","0.001","0.001","0.001","0.79","19.6","14.4","15.3","13.7","9","13","1","1",,"31","55","55","30 July 2022","08:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 08:00:00 AM","0.015","0.003","0.004","0.007","0.41","17.4","16.9","8.2","8.1","5","19","3","5","11","16","33","33","30 July 2022","08:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 07:00:00 AM",,"0.009","0.013","0.012",,"7.6","4.6","8.1","5.1",,,"9","16","19","16","21","21","30 July 2022","07:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 07:00:00 AM","0.012","0.001","0.001","0.001","0.81","21","17.3","14.7","13.5","9","15","1","1",,"29","54","54","30 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 07:00:00 AM","0.014","0.002","0.005","0.009","0.35","16.5","13.3","8.3","7.9","4","18","2","6","13","17","32","32","30 July 2022","07:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 06:00:00 AM","0.012","0.003","0.007","0.011","0.3","12","7.8","8.2","7.8","3","15","3","9","16","16","31","31","30 July 2022","06:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 06:00:00 AM","0.01","0.001","0.001","0.001","0.8","22.6","16.9","14","12.9","9","13","1","1",,"28","51","51","30 July 2022","06:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 06:00:00 AM",,"0.01","0.014","0.012",,"5.9","4.3","8.1","5.1",,,"10","18","18","16","20","20","30 July 2022","06:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 05:00:00 AM","0.01","0.001","0.001","0.002","0.77","27","20.2","13.3","12.4","9","13","1","1",,"27","49","49","30 July 2022","05:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 05:00:00 AM",,"0.017","0.016","0.011",,"7.5","4.6","8.2","5",,,"17","19","17","16","20","20","30 July 2022","05:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 05:00:00 AM","0.007","0.008","0.009","0.012","0.26","12.8","5.3","8.5","8.2","3","9","8","12","19","17","33","33","30 July 2022","05:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 04:00:00 AM","0.01","0.007","0.01","0.014","0.25","12","14.4","8.7","8.6","3","13","7","13","22","17","34","34","30 July 2022","04:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 04:00:00 AM","0.011","0.001","0.001","0.002","0.73","31.8","24.1","12.5","11.5","8","14","1","2",,"25","46","46","30 July 2022","04:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 04:00:00 AM",,"0.015","0.014","0.009",,"8.3","3.5","8.1","5",,,"15","17","14","16","20","20","30 July 2022","04:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 03:00:00 AM","0.008","0.01","0.012","0.016","0.23","13.3","13.5","8.5","8.3","3","10","10","15","25","17","33","33","30 July 2022","03:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 03:00:00 AM",,"0.014","0.012","0.008",,"5.7","3.9","8.1","5",,,"14","15","13","16","20","20","30 July 2022","03:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 03:00:00 AM","0.013","0.001","0.002","0.004","0.65","34.3","37.8","11.6","10.5","7","16","1","2",,"23","42","42","30 July 2022","03:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 02:00:00 AM","0.008","0.012","0.014","0.017","0.21","12.1","16.6","8.4","8.4","2","10","12","18","26","17","33","33","30 July 2022","02:00"
"Civic","(-35.285399, 149.131536)","30/07/2022 02:00:00 AM",,"0.016","0.01","0.009",,"3.1","2.7","8.1","4.8",,,"16","12","13","16","19","19","30 July 2022","02:00"
"Florey","(-35.220606, 149.0435)","30/07/2022 02:00:00 AM","0.015","0.001","0.002","0.004","0.57","33.9","35.8","10.6","8.8","6","19","1","2",,"21","35","35","30 July 2022","02:00"
"Monash","(-35.418302, 149.094018)","30/07/2022 01:00:00 AM","0.009","0.012","0.015","0.019","0.19","12.4","12.5","8.5","8.4","2","11","12","19","30","17","34","34","30 July 2022","01:00"
